Name,Chat_participation,Presence_time,Presence_punctuality
ALUNO_1,1.000,1.000,1.000
ALUNO_2,0.600,1.000,1.000
ALUNO_3,0.400,1.000,1.000
ALUNO_4,0.300,1.000,1.000
ALUNO_5,0.300,1.000,1.000
ALUNO_6,0.300,1.000,1.000
ALUNO_7,0.000,1.000,1.000
ALUNO_8,0.000,1.000,1.000
ALUNO_9,0.000,1.000,1.000
ALUNO_10,0.000,1.000,1.000
ALUNO_11,0.000,1.000,1.000
ALUNO_12,0.000,1.000,1.000
ALUNO_13,0.000,1.000,1.000
ALUNO_14,0.000,1.000,1.000
ALUNO_15,0.000,1.000,1.000
ALUNO_16,0.000,1.000,1.000
ALUNO_17,0.000,1.000,1.000
ALUNO_18,0.000,0.999,1.000
ALUNO_19,0.000,0.983,1.000
ALUNO_20,0.000,0.929,1.000
ALUNO_21,0.000,0.532,1.000
ALUNO_22,0.000,0.910,1.000
ALUNO_23,0.100,1.000,1.000
ALUNO_24,0.100,1.000,1.000
ALUNO_25,0.100,0.931,1.000
ALUNO_26,0.100,1.000,1.000
ALUNO_27,0.100,0.980,1.000
ALUNO_28,0.000,0.578,0.000
ALUNO_29,0.000,0.594,0.005
ALUNO_30,0.200,1.000,1.000
ALUNO_31,0.200,1.000,1.000
ALUNO_32,0.200,1.000,1.000
ALUNO_33,0.000,0.008,1.000
