variance,kurtosis,skewness,frequency,load,label
0.2226,10.5549,-0.1939,30,0,148
0.2212,10.4762,-0.1990,30,0,148
0.2238,11.1341,-0.2503,30,0,148
0.2229,11.5941,0.0022,30,0,148
0.2220,10.7864,0.0533,30,0,148
0.2264,10.9325,-0.0723,30,0,148
0.2214,11.1919,-0.0481,30,0,148
0.2125,11.0169,-0.0626,30,0,148
0.2032,11.0968,-0.0980,30,0,148
0.2000,10.8080,-0.3224,30,0,148
0.2119,10.4113,0.1023,30,0,148
0.2005,10.1725,0.0529,30,0,148
0.2148,10.4885,-0.0122,30,0,148
0.2040,9.9571,0.1292,30,0,148
0.1962,9.2900,-0.0290,30,0,148
0.1957,9.8010,0.1971,30,0,148
0.2108,10.0909,-0.0935,30,0,148
0.1999,9.6943,0.0247,30,0,148
0.1849,9.7038,-0.0669,30,0,148
0.1922,9.5504,0.0177,30,0,148
0.2090,10.1971,-0.1404,30,0,148
0.1910,10.0244,-0.2677,30,0,148
0.2003,9.6827,-0.1525,30,0,148
0.1971,9.5805,-0.0867,30,0,148
0.1989,10.4310,-0.4828,30,50,149
0.2026,9.6891,-0.1944,30,50,149
0.1926,9.5698,0.4601,30,50,149
0.1977,9.2015,0.4758,30,50,149
0.1925,8.9985,-0.2341,30,50,149
0.1850,9.3666,-0.2954,30,50,149
0.2023,9.2877,-0.6422,30,50,149
0.1923,9.0011,-0.3627,30,50,149
0.1830,9.1075,0.3034,30,50,149
0.1822,9.3836,0.2843,30,50,149
0.1878,9.3831,0.3875,30,50,149
0.1843,9.4374,0.4087,30,50,149
0.1820,10.3096,-0.4951,30,50,149
0.1824,9.2279,-0.5215,30,50,149
0.2084,11.2330,0.0364,30,50,149
0.2070,10.1209,-0.0260,30,50,149
0.1986,9.5274,0.5556,30,50,149
0.1964,9.7228,0.5079,30,50,149
0.1904,10.3316,-0.4006,30,50,149
0.1930,10.4103,-0.5063,30,50,149
0.2018,8.9868,-0.3852,30,50,149
0.1928,8.5301,-0.6359,30,50,149
0.1841,9.5600,0.4117,30,50,149
0.1881,9.3989,0.2400,30,50,149
0.2021,9.7861,-0.2731,30,100,150
0.2061,9.8053,-0.2178,30,100,150
0.1890,9.4315,-0.3640,30,100,150
0.1947,9.7858,-0.4835,30,100,150
0.1934,8.8678,-0.3012,30,100,150
0.1890,8.8143,-0.2056,30,100,150
0.1922,8.8032,-0.4076,30,100,150
0.1905,9.0758,-0.4690,30,100,150
0.1845,8.8318,0.0581,30,100,150
0.1963,8.9562,-0.2365,30,100,150
0.1867,9.3582,0.4909,30,100,150
0.1886,9.4542,0.4610,30,100,150
0.1897,10.4751,0.6051,30,100,150
0.1918,9.5300,0.5085,30,100,150
0.1999,8.5239,0.3786,30,100,150
0.2000,9.1665,0.1764,30,100,150
0.2055,9.5809,-0.2407,30,100,150
0.2074,10.6291,-0.3926,30,100,150
0.1965,10.1149,-0.4609,30,100,150
0.1982,10.2614,-0.5138,30,100,150
0.1928,9.7546,-0.4026,30,100,150
0.1960,9.6456,-0.4113,30,100,150
0.1977,9.4240,-0.2639,30,100,150
0.1890,8.9538,-0.5723,30,100,150
0.1902,10.2544,-0.2499,35,0,151
0.1865,9.6497,-0.3752,35,0,151
0.2059,10.7142,-0.1990,35,0,151
0.2016,10.5137,-0.1834,35,0,151
0.2267,9.7479,-0.0440,35,0,151
0.2248,9.4214,0.0030,35,0,151
0.2052,9.0722,0.0025,35,0,151
0.1994,9.6249,0.1278,35,0,151
0.1965,9.5966,0.1037,35,0,151
0.1996,10.2930,0.0773,35,0,151
0.1918,10.1820,0.0616,35,0,151
0.1949,10.8766,0.2173,35,0,151
0.1966,9.5384,-0.1684,35,0,151
0.1967,10.4744,-0.1795,35,0,151
0.1849,8.1904,-0.0022,35,0,151
0.1889,9.4009,-0.2432,35,0,151
0.1862,7.8850,0.0792,35,0,151
0.1874,8.1406,0.1610,35,0,151
0.1877,10.3841,0.2006,35,0,151
0.1880,11.0766,0.0163,35,0,151
0.1819,10.5049,0.3779,35,0,151
0.1797,10.7199,0.4151,35,0,151
0.1780,9.3559,-0.0217,35,0,151
0.1831,9.3607,-0.0113,35,0,151
0.2046,8.6686,-0.0350,35,50,152
0.2008,8.8309,-0.0829,35,50,152
0.1846,8.9250,-0.0349,35,50,152
0.1857,8.5047,-0.0594,35,50,152
0.1918,9.3762,0.1973,35,50,152
0.1930,9.2112,0.0913,35,50,152
0.2063,9.4624,-0.1972,35,50,152
0.2077,10.2131,-0.3551,35,50,152
0.1936,8.9579,0.1463,35,50,152
0.1921,8.7866,0.0766,35,50,152
0.1931,8.5655,-0.1217,35,50,152
0.1903,8.1317,-0.0339,35,50,152
0.1989,8.2623,0.0093,35,50,152
0.2070,9.0019,0.0345,35,50,152
0.2062,9.2994,-0.2639,35,50,152
0.2033,8.8154,-0.2496,35,50,152
0.1909,9.9893,0.1214,35,50,152
0.1974,10.1805,0.1362,35,50,152
0.2035,9.9385,0.1549,35,50,152
0.2007,9.3894,0.2496,35,50,152
0.2194,9.1880,-0.1970,35,50,152
0.2158,9.6669,-0.3024,35,50,152
0.2036,8.5360,-0.1037,35,50,152
0.2018,8.4325,-0.0662,35,50,152
0.1991,9.4876,-0.1108,35,100,153
0.2117,9.0614,-0.4793,35,100,153
0.2175,8.8033,-0.3397,35,100,153
0.2054,8.8825,-0.0822,35,100,153
0.2108,9.0685,-0.3308,35,100,153
0.2028,8.2648,-0.1544,35,100,153
0.2062,8.9823,-0.0300,35,100,153
0.2056,9.4959,-0.4541,35,100,153
0.2096,8.6123,-0.2349,35,100,153
0.2018,9.3905,-0.2796,35,100,153
0.2024,9.2726,-0.5200,35,100,153
0.2013,8.5671,-0.2615,35,100,153
0.1904,9.4676,-0.1498,35,100,153
0.2035,9.1423,-0.3000,35,100,153
0.1956,8.7974,-0.2480,35,100,153
0.1996,9.2466,-0.1894,35,100,153
0.1961,9.4461,-0.3387,35,100,153
0.1969,8.6361,-0.1006,35,100,153
0.1975,8.8107,0.0997,35,100,153
0.1994,8.7439,-0.1838,35,100,153
0.2008,8.7906,-0.0333,35,100,153
0.1943,8.7533,-0.1595,35,100,153
0.2018,9.0800,-0.1717,35,100,153
0.1914,7.4144,0.0673,35,100,153
0.0872,6.7950,0.0899,40,0,154
0.0884,6.8766,0.1071,40,0,154
0.0871,6.3881,0.0851,40,0,154
0.0848,6.6637,0.0275,40,0,154
0.0960,6.9900,0.0097,40,0,154
0.0974,7.1437,0.0271,40,0,154
0.1475,10.4968,0.7272,40,0,154
0.1479,9.7332,0.4794,40,0,154
0.2146,10.3040,-0.0790,40,0,154
0.2068,9.1630,-0.3488,40,0,154
0.1825,8.9194,-0.0343,40,0,154
0.1776,8.9213,-0.0767,40,0,154
0.1949,9.2289,0.2046,40,0,154
0.1927,9.3344,0.1028,40,0,154
0.2113,10.0815,0.0949,40,0,154
0.2033,8.8826,-0.0114,40,0,154
0.2131,9.3839,-0.1350,40,0,154
0.2085,8.9224,-0.1455,40,0,154
0.1846,9.1593,-0.0410,40,0,154
0.1841,8.5951,-0.0226,40,0,154
0.1917,9.5909,0.0903,40,0,154
0.1924,9.2297,0.0585,40,0,154
0.2024,9.4766,-0.2704,40,0,154
