variance,kurtosis,skewness,frequency,load,label
0.1982,9.3958,-0.1017,30,0,127
0.1990,9.2591,-0.1743,30,0,127
0.2095,9.2564,0.0083,30,0,127
0.1971,9.2328,0.2224,30,0,127
0.2176,9.9680,-0.1456,30,0,127
0.2198,10.4340,-0.0775,30,0,127
0.2050,8.9898,-0.1422,30,0,127
0.2048,9.6035,-0.3966,30,0,127
0.1992,8.5384,-0.0992,30,0,127
0.1894,8.2541,0.0757,30,0,127
0.1979,8.6496,-0.0339,30,0,127
0.1999,8.0535,-0.0669,30,0,127
0.1956,8.3757,0.1579,30,0,127
0.1950,8.9301,0.1116,30,0,127
0.1822,9.4193,-0.0464,30,0,127
0.1807,8.8316,0.0652,30,0,127
0.1798,9.4973,0.0085,30,0,127
0.1798,9.1753,-0.1873,30,0,127
0.1904,9.9353,-0.1790,30,0,127
0.1904,9.8010,-0.2586,30,0,127
0.2015,9.6187,-0.1776,30,0,127
0.1991,9.2613,-0.1584,30,0,127
0.1993,9.2565,0.0591,30,0,127
0.1998,9.4409,0.1474,30,0,127
0.1949,9.4283,-0.2151,30,50,128
0.1920,8.8838,-0.2777,30,50,128
0.2038,9.0687,-0.0209,30,50,128
0.1918,8.8091,0.0253,30,50,128
0.2151,9.3953,-0.0719,30,50,128
0.1967,9.3237,0.0789,30,50,128
0.2023,8.9792,0.2882,30,50,128
0.2000,8.9687,0.1732,30,50,128
0.2050,9.0435,-0.0132,30,50,128
0.1985,8.6955,-0.0701,30,50,128
0.1864,9.4500,-0.2378,30,50,128
0.1933,9.5738,-0.1424,30,50,128
0.1997,8.7478,-0.0952,30,50,128
0.1962,8.5463,0.0624,30,50,128
0.2009,8.8367,0.0008,30,50,128
0.2000,9.6563,0.0962,30,50,128
0.2069,8.6138,0.2175,30,50,128
0.2070,8.9229,0.3026,30,50,128
0.2104,9.1133,-0.1334,30,50,128
0.2068,8.9124,-0.1150,30,50,128
0.2026,9.4446,-0.0717,30,50,128
0.1934,9.6702,-0.3064,30,50,128
0.1987,8.8528,-0.0240,30,50,128
0.1962,8.1138,0.0223,30,50,128
0.2063,8.5268,0.1081,30,100,129
0.2100,8.7432,0.2675,30,100,129
0.2074,8.7304,0.2285,30,100,129
0.1980,8.6363,0.2941,30,100,129
0.1953,9.0877,0.1344,30,100,129
0.1932,8.6066,0.1874,30,100,129
0.1902,8.7196,0.0841,30,100,129
0.1887,9.0479,0.2433,30,100,129
0.1852,9.1331,0.1340,30,100,129
0.1828,9.1282,0.0739,30,100,129
0.1938,9.3266,0.0571,30,100,129
0.1780,9.2351,-0.0160,30,100,129
0.1829,9.6165,0.0309,30,100,129
0.1791,9.2509,-0.0667,30,100,129
0.1880,9.1499,-0.0111,30,100,129
0.1900,9.3457,0.1020,30,100,129
0.2028,8.5253,0.2021,30,100,129
0.2024,8.5768,0.2935,30,100,129
0.2067,8.6341,0.1147,30,100,129
0.2045,8.4746,0.3325,30,100,129
0.2155,8.3721,0.1483,30,100,129
0.2004,7.9967,0.2929,30,100,129
0.2033,8.1030,0.0843,30,100,129
0.2007,8.3525,0.0801,30,100,129
0.2024,8.8551,-0.0758,35,0,130
0.2034,8.6300,-0.2048,35,0,130
0.1992,8.0235,0.2154,35,0,130
0.1941,8.2328,0.1885,35,0,130
0.2160,8.4381,0.0412,35,0,130
0.2129,8.9677,-0.0219,35,0,130
0.2035,8.5214,-0.0531,35,0,130
0.2030,8.9008,0.1205,35,0,130
0.2064,8.5012,-0.3212,35,0,130
0.2012,7.9896,-0.2659,35,0,130
0.1930,8.8284,0.3117,35,0,130
0.2010,8.5515,0.1154,35,0,130
0.1884,8.8737,-0.3014,35,0,130
0.1879,8.6214,-0.1521,35,0,130
0.2090,9.3641,-0.3245,35,0,130
0.2082,9.0271,-0.1642,35,0,130
0.2161,8.4662,0.0400,35,0,130
0.2092,8.7791,0.1056,35,0,130
0.2037,8.9277,-0.1958,35,0,130
0.2045,8.1852,-0.1644,35,0,130
0.1867,8.2222,0.1441,35,0,130
0.1912,8.7749,0.1760,35,0,130
0.2013,8.0719,-0.0992,35,0,130
0.2073,8.0039,-0.2032,35,0,130
0.2121,8.6625,-0.0590,35,50,131
0.2116,8.3811,-0.2125,35,50,131
0.2027,8.1999,-0.1738,35,50,131
0.2056,8.2715,-0.1241,35,50,131
0.2175,9.1636,-0.0936,35,50,131
0.2098,8.1610,-0.0949,35,50,131
0.2047,8.5652,-0.0032,35,50,131
0.2035,8.3102,0.0072,35,50,131
0.2028,8.8692,0.2399,35,50,131
0.1993,7.9376,0.0160,35,50,131
0.1990,8.2828,-0.1683,35,50,131
0.2003,7.9431,-0.0529,35,50,131
0.2003,8.9637,0.1921,35,50,131
0.2045,9.1648,0.0964,35,50,131
0.1897,9.1346,0.0144,35,50,131
0.1861,8.3986,-0.0309,35,50,131
0.2041,8.3072,-0.0290,35,50,131
0.2140,8.3874,0.0440,35,50,131
0.1973,8.2713,-0.0778,35,50,131
0.2034,8.2407,0.0277,35,50,131
0.2011,8.2114,-0.1209,35,50,131
0.2182,8.8016,0.0162,35,50,131
0.2187,7.8824,-0.1234,35,50,131
0.2131,8.0235,-0.1125,35,50,131
0.2082,8.6190,0.0816,35,100,132
0.2074,8.5114,0.0667,35,100,132
0.2190,8.3975,-0.2854,35,100,132
0.2079,8.1078,-0.2896,35,100,132
0.2242,8.9601,-0.1976,35,100,132
0.2132,8.6389,-0.2114,35,100,132
0.2092,7.6043,-0.1941,35,100,132
0.2124,8.0071,-0.2437,35,100,132
0.2053,8.1413,-0.1244,35,100,132
0.2080,7.9541,-0.1021,35,100,132
0.2056,8.1193,0.1196,35,100,132
0.2177,8.3282,0.0335,35,100,132
0.2187,7.7207,0.2309,35,100,132
0.2185,8.4592,0.1174,35,100,132
0.2117,8.0885,0.0651,35,100,132
0.2107,8.5398,0.1221,35,100,132
0.2159,8.7652,0.0668,35,100,132
0.2173,8.1359,-0.0994,35,100,132
0.2080,8.1988,-0.2686,35,100,132
0.2121,8.3878,-0.0684,35,100,132
0.2203,9.1180,-0.3082,35,100,132
0.2134,8.7802,-0.2227,35,100,132
0.1981,7.9261,-0.0636,35,100,132
0.2046,8.3811,-0.1929,35,100,132
0.1935,8.7937,-0.0611,40,0,133
0.1940,8.4317,-0.1366,40,0,133
0.1989,8.4412,0.1179,40,0,133
0.2022,8.5717,0.0513,40,0,133
0.1869,8.1811,0.0400,40,0,133
0.1819,8.4648,-0.2086,40,0,133
0.1881,8.2508,0.1633,40,0,133
0.1901,8.0545,0.2101,40,0,133
0.1893,8.7168,-0.1433,40,0,133
0.1945,8.3228,-0.0751,40,0,133
0.2104,8.8932,-0.1755,40,0,133
0.2033,8.5350,-0.0425,40,0,133
0.2161,8.0279,0.0370,40,0,133
0.2057,7.9733,0.0368,40,0,133
0.1907,8.0459,-0.0888,40,0,133
0.1903,7.8916,0.0343,40,0,133
0.1988,7.9394,-0.0028,40,0,133
0.2020,8.3969,0.1154,40,0,133
0.1963,8.2607,-0.0350,40,0,133
0.1936,7.8838,-0.0158,40,0,133
0.2015,8.6659,-0.0199,40,0,133
0.1977,7.9404,-0.1108,40,0,133
0.2064,8.6671,-0.1516,40,0,133
0.2034,8.3754,-0.1138,40,0,133
0.2090,7.7245,-0.1690,40,50,134
0.2091,8.1706,-0.1801,40,50,134
0.2168,8.2549,-0.1323,40,50,134
0.2104,7.6591,0.0218,40,50,134
0.2091,8.3963,-0.3453,40,50,134
0.2032,8.1127,-0.0853,40,50,134
0.2076,7.7981,0.0991,40,50,134
0.2030,7.7957,0.0154,40,50,134
0.2069,7.7194,0.0178,40,50,134
0.2042,7.4117,0.0189,40,50,134
0.2075,8.0085,0.1011,40,50,134
0.2048,7.7700,0.2842,40,50,134
0.1956,7.9953,0.1577,40,50,134
0.2016,8.2149,0.1391,40,50,134
0.2105,8.3232,0.2048,40,50,134
0.2105,8.4435,0.0774,40,50,134
0.2081,8.0635,-0.0525,40,50,134
0.2069,8.0241,-0.0028,40,50,134
0.1925,8.3773,-0.1260,40,50,134
0.1906,8.1033,0.0688,40,50,134
0.2083,8.0780,-0.0205,40,50,134
0.2029,7.6858,-0.1575,40,50,134
0.2086,8.1271,-0.1088,40,50,134
0.2192,7.9375,-0.0648,40,50,134
0.2084,7.8020,-0.0330,40,100,135
