Name,Chat_participation,Presence_time,Presence_punctuality
ALUNO_1,0.500,1.000,1.000
ALUNO_2,1.000,1.000,1.000
ALUNO_3,0.556,1.000,1.000
ALUNO_4,0.333,1.000,1.000
ALUNO_5,0.222,0.652,1.000
ALUNO_6,0.222,1.000,1.000
ALUNO_7,0.000,1.000,1.000
ALUNO_8,0.000,1.000,1.000
ALUNO_9,0.000,1.000,1.000
ALUNO_10,0.000,1.000,1.000
ALUNO_11,0.000,1.000,1.000
ALUNO_12,0.000,1.000,1.000
ALUNO_13,0.000,1.000,1.000
ALUNO_14,0.000,1.000,1.000
ALUNO_15,0.000,1.000,1.000
ALUNO_16,0.000,1.000,1.000
ALUNO_17,0.000,1.000,1.000
ALUNO_18,0.000,1.000,1.000
ALUNO_19,0.000,1.000,1.000
ALUNO_20,0.000,1.000,1.000
ALUNO_21,0.000,1.000,1.000
ALUNO_22,0.000,1.000,1.000
ALUNO_23,0.000,1.000,1.000
ALUNO_24,0.000,0.924,1.000
ALUNO_25,0.000,0.951,0.925
ALUNO_26,0.056,1.000,1.000
ALUNO_27,0.056,1.000,1.000
ALUNO_28,0.000,0.968,0.887
ALUNO_29,0.000,0.842,1.000
ALUNO_30,0.000,1.000,0.822
ALUNO_31,0.111,1.000,1.000
ALUNO_32,0.000,0.791,0.828
ALUNO_33,0.000,0.609,0.921
ALUNO_34,0.167,1.000,1.000
ALUNO_35,0.167,1.000,1.000
ALUNO_36,0.167,1.000,1.000
ALUNO_37,0.167,1.000,1.000
ALUNO_38,0.056,0.913,0.686
ALUNO_39,0.000,0.692,0.402
ALUNO_40,0.000,0.460,1.000
ALUNO_41,0.000,0.392,0.000
ALUNO_42,0.000,0.229,1.000
ALUNO_43,0.000,0.154,0.854
ALUNO_44,0.000,0.012,1.000
