variance,kurtosis,skewness,frequency,load,label
0.0949,6.0498,0.1273,35,100,174
0.0950,6.2305,0.1937,35,100,174
0.0947,6.2447,0.1655,35,100,174
0.0912,5.8387,-0.0157,35,100,174
0.0921,5.9837,-0.0714,35,100,174
0.0915,6.4791,0.0403,35,100,174
0.0917,6.2799,0.0764,35,100,174
0.0952,6.2716,0.0452,35,100,174
0.0944,6.1008,0.1156,35,100,174
0.0867,6.3544,-0.0843,35,100,174
0.0886,6.3412,0.0307,35,100,174
0.0888,6.0411,-0.0565,35,100,174
0.0900,6.1270,-0.0491,35,100,174
0.0902,6.0885,-0.0720,35,100,174
0.0921,6.3079,-0.0318,35,100,174
0.0922,6.0120,-0.0615,40,0,175
0.0923,6.2181,-0.1247,40,0,175
0.0839,5.3211,-0.0235,40,0,175
0.0867,5.4210,0.0552,40,0,175
0.0846,5.4511,0.1654,40,0,175
0.0843,5.6960,0.1210,40,0,175
0.0907,5.6905,-0.1513,40,0,175
0.0884,5.7841,-0.2469,40,0,175
0.0852,5.9256,0.0433,40,0,175
0.0881,5.8910,0.1019,40,0,175
0.0819,5.1992,0.0426,40,0,175
0.0825,5.3018,0.0481,40,0,175
0.0908,5.9745,-0.0804,40,0,175
0.0881,5.7080,-0.0918,40,0,175
0.0909,6.2114,-0.0146,40,0,175
0.0934,6.3325,0.0047,40,0,175
0.0854,5.3203,0.0051,40,0,175
0.0842,5.2734,-0.0720,40,0,175
0.0836,5.6893,0.1307,40,0,175
0.0829,5.7177,0.1261,40,0,175
0.0877,5.6688,-0.2299,40,0,175
0.0899,5.6300,-0.1455,40,0,175
0.0858,5.6276,0.0497,40,0,175
0.0830,5.4741,0.0384,40,0,175
0.0995,6.0951,-0.0392,40,50,176
0.0979,6.1414,-0.0420,40,50,176
0.0997,5.8187,-0.0205,40,50,176
0.0973,5.6579,-0.0713,40,50,176
0.0980,5.3955,0.0097,40,50,176
0.0976,5.7981,-0.0776,40,50,176
0.0980,5.8405,-0.0558,40,50,176
0.0986,5.8232,0.0134,40,50,176
0.0966,5.7741,0.0921,40,50,176
0.0968,5.8450,0.0835,40,50,176
0.0976,5.9634,-0.0321,40,50,176
0.0927,5.4991,-0.0054,40,50,176
0.0948,5.5299,-0.1409,40,50,176
0.0970,5.7846,-0.0641,40,50,176
0.0987,5.4916,0.0214,40,50,176
0.0987,5.4239,-0.0373,40,50,176
0.0992,5.8181,0.0556,40,50,176
0.0965,5.8160,-0.0067,40,50,176
0.0990,5.6721,0.0258,40,50,176
0.0980,5.8204,-0.0369,40,50,176
0.0958,5.6975,-0.0694,40,50,176
0.0976,5.7477,-0.1107,40,50,176
0.0985,5.7603,-0.0989,40,50,176
0.0989,5.8613,-0.0645,40,50,176
0.0996,5.5720,0.0547,40,100,177
0.1002,5.7123,0.0698,40,100,177
0.1002,5.8376,0.0546,40,100,177
0.1006,5.9836,0.0479,40,100,177
0.1025,5.8461,-0.0081,40,100,177
0.1011,5.5855,-0.0469,40,100,177
0.1033,6.1872,-0.1111,40,100,177
0.1028,6.3343,-0.1290,40,100,177
0.1021,5.8571,-0.1116,40,100,177
0.1016,6.0357,-0.0350,40,100,177
0.0996,5.7860,-0.0948,40,100,177
0.1025,5.7795,-0.0072,40,100,177
0.0990,5.6606,-0.0645,40,100,177
0.0995,5.5894,-0.0851,40,100,177
0.1040,6.1161,0.1434,40,100,177
0.1033,5.9158,0.1072,40,100,177
0.1050,5.9576,0.0946,40,100,177
0.1040,6.0907,0.1257,40,100,177
0.1008,5.5276,0.0197,40,100,177
0.1019,5.6640,0.0499,40,100,177
0.1028,5.8991,0.1216,40,100,177
0.1003,5.8447,0.0680,40,100,177
0.1017,5.7614,-0.0325,40,100,177
0.0998,5.7495,0.0598,40,100,177
0.0903,4.9946,0.1985,45,0,178
0.0895,4.9613,0.2172,45,0,178
0.0924,5.7654,-0.1009,45,0,178
0.0913,5.4780,-0.2011,45,0,178
0.0900,5.6241,0.0873,45,0,178
0.0894,5.4479,0.0860,45,0,178
0.0876,5.2371,0.0963,45,0,178
0.0886,5.3053,0.0748,45,0,178
0.0886,5.3957,-0.2744,45,0,178
0.0898,5.4548,-0.1667,45,0,178
0.0889,5.0729,0.1692,45,0,178
0.0881,4.9910,0.2059,45,0,178
0.0876,5.0392,-0.1241,45,0,178
0.0887,5.1384,-0.0420,45,0,178
0.0912,5.5810,-0.0244,45,0,178
0.0894,5.3234,0.0503,45,0,178
