Name,Chat_participation,Presence_time,Presence_punctuality
ALUNO_1,1.000,1.000,1.000
ALUNO_2,0.500,0.978,1.000
ALUNO_3,0.583,1.000,1.000
ALUNO_4,0.917,1.000,1.000
ALUNO_5,0.333,1.000,1.000
ALUNO_6,0.750,1.000,1.000
ALUNO_7,0.750,1.000,1.000
ALUNO_8,0.250,1.000,1.000
ALUNO_9,0.250,1.000,1.000
ALUNO_10,0.000,1.000,1.000
ALUNO_11,0.000,1.000,1.000
ALUNO_12,0.000,1.000,1.000
ALUNO_13,0.000,1.000,1.000
ALUNO_14,0.000,0.979,1.000
ALUNO_15,0.083,1.000,1.000
ALUNO_16,0.083,1.000,1.000
ALUNO_17,0.083,1.000,1.000
ALUNO_18,0.083,1.000,1.000
ALUNO_19,0.083,0.962,1.000
ALUNO_20,0.083,0.979,1.000
ALUNO_21,0.083,0.957,1.000
ALUNO_22,0.000,0.832,1.000
ALUNO_23,0.000,0.773,1.000
ALUNO_24,0.000,0.599,1.000
ALUNO_25,0.167,1.000,1.000
ALUNO_26,0.167,1.000,1.000
ALUNO_27,0.167,1.000,1.000
ALUNO_28,0.167,1.000,1.000
ALUNO_29,0.167,1.000,1.000
ALUNO_30,0.167,1.000,1.000
ALUNO_31,0.167,0.933,1.000
ALUNO_32,0.000,0.693,0.268
ALUNO_33,0.000,0.660,1.000
ALUNO_34,0.000,0.474,0.000
ALUNO_35,0.000,0.430,0.000
ALUNO_36,0.000,0.242,1.000
ALUNO_37,0.000,0.109,0.000
ALUNO_38,0.000,0.093,0.000
ALUNO_39,0.000,0.062,0.000
