Name,Chat_participation,Presence_time,Presence_punctuality
ALUNO_1,1.000,1.000,1.000
ALUNO_2,0.324,1.000,1.000
ALUNO_3,0.618,0.604,1.000
ALUNO_4,0.000,1.000,1.000
ALUNO_5,0.000,1.000,1.000
ALUNO_6,0.000,1.000,1.000
ALUNO_7,0.029,1.000,1.000
ALUNO_8,0.029,1.000,1.000
ALUNO_9,0.029,1.000,1.000
ALUNO_10,0.059,1.000,1.000
ALUNO_11,0.059,1.000,1.000
ALUNO_12,0.059,1.000,1.000
ALUNO_13,0.059,1.000,1.000
ALUNO_14,0.088,1.000,1.000
ALUNO_15,0.088,1.000,1.000
ALUNO_16,0.029,0.743,0.274
ALUNO_17,0.176,1.000,1.000
ALUNO_18,0.000,0.697,0.145
ALUNO_19,0.088,0.496,0.000
ALUNO_20,0.000,0.493,0.049
